cluster,Reference_Audios,GroundTruth_Text,selection_model
0,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video0/chunk0.wav,"I never really blamed him.I blamed myself.And that self blame, over time,became a kind of selfhatred.",Wav2Vec50_Model
1,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video8/chunk58.wav,"I began to rewrite the film with this back and forth.In time and in memory, thethe film actually became much more.",Wav2Vec960_Model
2,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video9/chunk1.wav,"Some may find the details disturbing.Nearly a decade after his death,multiple Grammy winner Michael Jackson's.",Wav2Vec960_Model
3,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video9/chunk25.wav,In 2005 during the criminal trial.The reason why Wade changed his story.And that's what it looks like.And I can understand why people.,Wav2Vec960_Model
4,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video13/chunk79.wav,"I wasn't being as open as I used to be.Or it looked like maybe I was keeping secretsor I just wasn't sharing how I felt.Maybe if someone had come to me and said, Are.",Wav2Vec960_Model
5,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video9/chunk16.wav,Theirs to come out and state this.And they're still in court with the estatesuing them for hundreds of millions of dollars.Jackson's estate is suing HBO for 100.,Wav2Vec50_Model
6,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video12/chunk106.wav,The priest invited Michael to stay for mass.And the mass begins.And the floodgates open up.,Wav2Vec960_Model
7,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video6/chunk133.wav,"I had a lot more independence.I wasn't hanging around with thefamily as much in those scenarios.I'd be playing with my own friends,and eventually I just kind of.",Wav2Vec50_Model
8,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video12/chunk119.wav,"The Way that I see our lives asbeing parallel is that we both hadthis formative, traumatic experience, one that really.",Wav2Vec960_Model
9,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video12/chunk121.wav,To usher me out when he raised his fingerto his lips and swore me to a secret.Michael's old secret is now the subjectof a one-man play he wrote.,Wav2Vec50_Model
10,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video11/chunk28.wav,"Started to touch me, and it started with just a littlepat on the head, a little stroke on your lap.And before you know it, they work.They move their way to progressive.",Wav2Vec50_Model
11,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video11/chunk16.wav,"How can you protect yourself against aa family member, who's perpetrating the crime?You know, family members who you couldhave grown up with all your life.Uncles, aunts, your mama.",Wav2Vec960_Model
12,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video0/chunk36.wav,And asked me what I might buy with it.And I told him a fried pie.And then he opened the door andhe ushered me out and I went.,Wav2Vec960_Model
13,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video14/chunk43.wav,"Of that, I think my mother put forward thatreally centered her on she survived this terrible marriage.This is about the three of us together,meaning her and me and my sister.And I think secrets are.",Wav2Vec50_Model
14,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video2/chunk48.wav,"When I think about it, it was most likelyjust shoved off the carpet even as a child.That was imposed on me from a very young age.You don't talk about your feelings.You don't talk about it.",Wav2Vec50_Model
15,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video8/chunk25.wav,"hat part of the story.Soon after this turning point and this awakeningthat, in fact, the relationship I had was.",Wav2Vec960_Model
